Izin_Adi,Tam_Deger,Koruma_Seviyesi,Aciklama
ACCEPT_HANDOVER,android.permission.ACCEPT_HANDOVER,signature,"public static final String WRITE_VOICEMAIL Allows an application to modify and remove existing voicemails in the system. Protection level: signature|privileged|role Constant Value: ""com.android.voicemail.permission.WRITE_VOICEMAIL"" Public constructors permission public permission ()"
ACCEPT_HANDOVER,android.permission.ACCEPT_HANDOVER,dangerous,"Allows a calling app to continue a call which was started in another app. An example is a video calling app that wants to continue a voice call on the user's mobile network. When the handover of a call from one app to another takes place, there are two devices which are involved in the handover; the initiating and receiving devices. The initiating device is where the request to handover the call was started, and the receiving device is where the handover request is confirmed by the other party. This permission protects access to the TelecomManager.acceptHandover(Uri, int, PhoneAccountHandle) which the receiving side of the handover uses to accept a handover. Protection level: dangerous Constant Value: ""android.permission.ACCEPT_HANDOVER"""
ACCESS_BACKGROUND_LOCATION,android.permission.ACCESS_BACKGROUND_LOCATION,dangerous,"Allows an app to access location in the background. If you're requesting this permission, you must also request either ACCESS_COARSE_LOCATION or ACCESS_FINE_LOCATION . Requesting this permission by itself doesn't give you location access. Protection level: dangerous This is a hard restricted permission which cannot be held by an app until the installer on record allowlists the permission. For more details see PackageInstaller.SessionParams.setWhitelistedRestrictedPermissions(Set) . Constant Value: ""android.permission.ACCESS_BACKGROUND_LOCATION"""
ACCESS_BLOBS_ACROSS_USERS,android.permission.ACCESS_BLOBS_ACROSS_USERS,Unknown,"Allows an application to access data blobs across users. Constant Value: ""android.permission.ACCESS_BLOBS_ACROSS_USERS"""
ACCESS_CHECKIN_PROPERTIES,android.permission.ACCESS_CHECKIN_PROPERTIES,Unknown,"Allows read/write access to the ""properties"" table in the checkin database, to change values that get uploaded. Not for use by third-party applications. Constant Value: ""android.permission.ACCESS_CHECKIN_PROPERTIES"""
ACCESS_COARSE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,dangerous,"Allows an app to access approximate location. Alternatively, you might want ACCESS_FINE_LOCATION . Protection level: dangerous Constant Value: ""android.permission.ACCESS_COARSE_LOCATION"""
ACCESS_FINE_LOCATION,android.permission.ACCESS_FINE_LOCATION,dangerous,"Allows an app to access precise location. Alternatively, you might want ACCESS_COARSE_LOCATION . Protection level: dangerous Constant Value: ""android.permission.ACCESS_FINE_LOCATION"""
ACCESS_HIDDEN_PROFILES,android.permission.ACCESS_HIDDEN_PROFILES,normal,"Allows applications to access profiles with android.content.pm.UserProperties#PROFILE_API_VISIBILITY_HIDDEN user property, e.g. UserManager.USER_TYPE_PROFILE_PRIVATE . Protection level: normal Constant Value: ""android.permission.ACCESS_HIDDEN_PROFILES"""
ACCESS_LAUNCHER_DATA,android.permission.ACCESS_LAUNCHER_DATA,Unknown,"ACCESS_LAUNCHER_DATA Added in version 36.1 This permission protects a content provider within home/launcher applications, enabling management of home screen metadata such as shortcut placement, launch intents, and labels. Constant Value: ""android.permission.ACCESS_LAUNCHER_DATA"""
ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,normal,"Allows an application to access extra location provider commands. Protection level: normal Constant Value: ""android.permission.ACCESS_LOCATION_EXTRA_COMMANDS"""
ACCESS_MEDIA_LOCATION,android.permission.ACCESS_MEDIA_LOCATION,dangerous,"Allows an application to access any geographic locations persisted in the user's shared collection. Protection level: dangerous Constant Value: ""android.permission.ACCESS_MEDIA_LOCATION"""
ACCESS_NETWORK_STATE,android.permission.ACCESS_NETWORK_STATE,normal,"Allows applications to access information about networks. Protection level: normal Constant Value: ""android.permission.ACCESS_NETWORK_STATE"""
ACCESS_NOTIFICATION_POLICY,android.permission.ACCESS_NOTIFICATION_POLICY,normal,"Marker permission for applications that wish to access notification policy. This permission is not supported on managed profiles. Protection level: normal Constant Value: ""android.permission.ACCESS_NOTIFICATION_POLICY"""
ACCESS_WIFI_STATE,android.permission.ACCESS_WIFI_STATE,normal,"Allows applications to access information about Wi-Fi networks. Protection level: normal Constant Value: ""android.permission.ACCESS_WIFI_STATE"""
