sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
1465D832C23A2D13A5405DB9FFB98EC108D04E820C67030A9414606D746551AD,330E249ED48829DBA4278D125557F0B38E4CEFEE,B220A65CDCC9D2A618BB155CA83EFB2D,1981-01-01 01:01:02,3173979,app.BallisticsBuddy,35,0.0,2025-10-10 07:52:33,1436100,play.google.com
EF832ECEF452C5B99103B6DD1C0E4F36DE3921A79111EE4E5C67E2B7A5E6E60C,7785EC9080A8A6AECC0CF5274F1EB7192639910C,CB4BBB8384D58B687A91C2D3FFDBBF61,1981-01-01 01:01:02,17187367,com.Lapua.LapuaBallistics,1133,0.0,2025-06-04 05:50:48,8440424,play.google.com
BDE8D6507A8E51CE0070ED05EB942B5D105E637572DB134D08195980EC942A7A,A56440E61143CDD52266828AE6EF2CEE68DE74E9,519117C3B586E463E67C03FC7ACEED57,1981-01-01 01:01:02,49399620,com.acidremap.PPPAspirusMedEvacEMSProtocols,20600,0.0,2024-01-23 07:41:43,6521840,play.google.com
571467164D4AFFDCDA66DD90A43B352A65824E937C612247058F8B87771BC1D2,38999354F8A8B939614C524F4213D8A0B84370BA,98A3F9312EC4D3D72B4CF4A6FC104BE7,1981-01-01 01:01:02,47098144,com.agilx.hornady,1022,0.0,2025-11-12 00:00:52,9252148,play.google.com
E4849D1AFD452DA2B245B68FD83AAF7B8BEFB49C44BB59C329737F5F2266ACF1,3ACC0643D080583008B112C518B06704F145A4AC,0AE97B8E1BE8CA7C8116E78231608426,2021-04-26 14:34:16,43591675,com.agilx.hornadycatalog,252,0.0,2021-04-28 04:43:13,5689716,play.google.com
252F8D7DD304A458A36B42F17900183B4A1BF5875DADACA1D0BFB10AE0FC7C70,25546DBB72043E1EC9366FA519830A466FC92BFF,94E6B6068C39D9C8DC85BAFF4E884642,1981-01-01 01:01:02,60124622,com.agilx.hornadyreloading,1009,0.0,2025-10-06 10:13:57,9757972,play.google.com
85BC8AEFD38A96E4F175D8DFB3A69B2C16103053E9BD47AE25BB9E6D90174436,AA8376B6B6DB7C39E549F53C9EBD2ECC9B762B26,F5EB60B819ED5746DD0F3812688F8487,1981-01-01 01:01:02,30157915,com.app.phoneticalphabet,45,0.0,2025-10-09 04:57:04,13586748,play.google.com
65604ECAE76C661944135E1B47139D179F931EFCE42812559A5BD786F81038C6,499D7891E7C8C13A715CC22892DA03939D344B11,861BB148FDCAA38321862E0468AE91C4,1981-01-01 01:01:02,20353628,com.appfrancois.PhoneticAlphabet,50401,0.0,2025-10-18 06:55:26,6669392,play.google.com
20B09D1FA3A8B9CC62B4DC1E4A3DC135C29A6C702A9F41D183D3FE211789FF3D,D2E16BC39BE52789786A007BB75E99BEDF7B0210,8B06866F65EEDBCE7BB7812441149532,1981-01-01 01:01:02,94228151,com.appliedballisticsllc.appliedballistics,624,,,9127356,play.google.com
207B17DC5DF3A1CC61C872D69F2216E04789AB8BD30A9BB499F9EF6170392A58,F6CCA17743BBFE9253F225F7BE96E8707DBB092F,89901E756D172B72A02BCE55127A78B6,1980-01-01 00:00:00,8468138,com.apps.utmfinder,37,0.0,2020-09-09 13:04:48,8574704,play.google.com
